Airfoil,w_l1,w_l2,w_l3,w_l4,w_l5,w_l6,w_u1,w_u2,w_u3,w_u4,w_u5,w_u6,Alpha,CL,CD
A19,-0.1508,-0.17312,-0.17365,-0.12959,-0.15798,-0.15435,0.163213,0.148695,0.149951,0.115497,0.157708,0.130644,10,1.0141,0.01978
A20,-0.17695,-0.14889,-0.14613,-0.14923,-0.1538,-0.14931,0.171829,0.168508,0.139712,0.116286,0.155602,0.139681,0,-0.0178,0.00596
A20,-0.17695,-0.14889,-0.14613,-0.14923,-0.1538,-0.14931,0.171829,0.168508,0.139712,0.116286,0.155602,0.139681,2,0.189,0.00769
A20,-0.17695,-0.14889,-0.14613,-0.14923,-0.1538,-0.14931,0.171829,0.168508,0.139712,0.116286,0.155602,0.139681,4,0.4634,0.00962
A20,-0.17695,-0.14889,-0.14613,-0.14923,-0.1538,-0.14931,0.171829,0.168508,0.139712,0.116286,0.155602,0.139681,6,0.7404,0.01181
A20,-0.17695,-0.14889,-0.14613,-0.14923,-0.1538,-0.14931,0.171829,0.168508,0.139712,0.116286,0.155602,0.139681,8,0.9271,0.01471
A20,-0.17695,-0.14889,-0.14613,-0.14923,-0.1538,-0.14931,0.171829,0.168508,0.139712,0.116286,0.155602,0.139681,10,1.0458,0.01846
A21,-0.15298,-0.17155,-0.17716,-0.12344,-0.16043,-0.11994,0.15718,0.17134,0.159593,0.145226,0.133298,0.153793,-2,-0.2018,0.00695
A21,-0.15298,-0.17155,-0.17716,-0.12344,-0.16043,-0.11994,0.15718,0.17134,0.159593,0.145226,0.133298,0.153793,0,0.011,0.00653
A21,-0.15298,-0.17155,-0.17716,-0.12344,-0.16043,-0.11994,0.15718,0.17134,0.159593,0.145226,0.133298,0.153793,2,0.2106,0.00694
A21,-0.15298,-0.17155,-0.17716,-0.12344,-0.16043,-0.11994,0.15718,0.17134,0.159593,0.145226,0.133298,0.153793,4,0.4507,0.00843
A21,-0.15298,-0.17155,-0.17716,-0.12344,-0.16043,-0.11994,0.15718,0.17134,0.159593,0.145226,0.133298,0.153793,6,0.7269,0.0117
A21,-0.15298,-0.17155,-0.17716,-0.12344,-0.16043,-0.11994,0.15718,0.17134,0.159593,0.145226,0.133298,0.153793,8,0.8979,0.0152
A21,-0.15298,-0.17155,-0.17716,-0.12344,-0.16043,-0.11994,0.15718,0.17134,0.159593,0.145226,0.133298,0.153793,10,1.008,0.01969
A22,-0.16512,-0.15421,-0.17946,-0.12243,-0.14212,-0.15813,0.160984,0.172263,0.148392,0.121748,0.156062,0.146527,-2,-0.2141,0.00722
A22,-0.16512,-0.15421,-0.17946,-0.12243,-0.14212,-0.15813,0.160984,0.172263,0.148392,0.121748,0.156062,0.146527,0,-0.0113,0.00774
A22,-0.16512,-0.15421,-0.17946,-0.12243,-0.14212,-0.15813,0.160984,0.172263,0.148392,0.121748,0.156062,0.146527,2,0.1965,0.00742
A22,-0.16512,-0.15421,-0.17946,-0.12243,-0.14212,-0.15813,0.160984,0.172263,0.148392,0.121748,0.156062,0.146527,6,0.7046,0.01149
A22,-0.16512,-0.15421,-0.17946,-0.12243,-0.14212,-0.15813,0.160984,0.172263,0.148392,0.121748,0.156062,0.146527,10,1.0377,0.01878
A23,-0.16792,-0.1569,-0.16553,-0.14621,-0.14897,-0.15151,0.195325,0.173355,0.141709,0.12716,0.153272,0.143151,-2,-0.2317,0.00703
A23,-0.16792,-0.1569,-0.16553,-0.14621,-0.14897,-0.15151,0.195325,0.173355,0.141709,0.12716,0.153272,0.143151,0,-0.0142,0.00638
A23,-0.16792,-0.1569,-0.16553,-0.14621,-0.14897,-0.15151,0.195325,0.173355,0.141709,0.12716,0.153272,0.143151,2,0.1867,0.00778
A23,-0.16792,-0.1569,-0.16553,-0.14621,-0.14897,-0.15151,0.195325,0.173355,0.141709,0.12716,0.153272,0.143151,4,0.4591,0.00968
A23,-0.16792,-0.1569,-0.16553,-0.14621,-0.14897,-0.15151,0.195325,0.173355,0.141709,0.12716,0.153272,0.143151,6,0.7421,0.01168
A23,-0.16792,-0.1569,-0.16553,-0.14621,-0.14897,-0.15151,0.195325,0.173355,0.141709,0.12716,0.153272,0.143151,8,0.9404,0.01401
A23,-0.16792,-0.1569,-0.16553,-0.14621,-0.14897,-0.15151,0.195325,0.173355,0.141709,0.12716,0.153272,0.143151,10,1.0694,0.01735
A24,-0.17268,-0.13464,-0.18118,-0.11986,-0.1527,-0.14039,0.180704,0.143806,0.144642,0.135533,0.158374,0.153519,-2,-0.2229,0.00734
A24,-0.17268,-0.13464,-0.18118,-0.11986,-0.1527,-0.14039,0.180704,0.143806,0.144642,0.135533,0.158374,0.153519,0,0.0079,0.006
A24,-0.17268,-0.13464,-0.18118,-0.11986,-0.1527,-0.14039,0.180704,0.143806,0.144642,0.135533,0.158374,0.153519,2,0.2157,0.00713
A24,-0.17268,-0.13464,-0.18118,-0.11986,-0.1527,-0.14039,0.180704,0.143806,0.144642,0.135533,0.158374,0.153519,4,0.4791,0.00993
A24,-0.17268,-0.13464,-0.18118,-0.11986,-0.1527,-0.14039,0.180704,0.143806,0.144642,0.135533,0.158374,0.153519,6,0.7627,0.01229
A24,-0.17268,-0.13464,-0.18118,-0.11986,-0.1527,-0.14039,0.180704,0.143806,0.144642,0.135533,0.158374,0.153519,8,0.9213,0.01479
A24,-0.17268,-0.13464,-0.18118,-0.11986,-0.1527,-0.14039,0.180704,0.143806,0.144642,0.135533,0.158374,0.153519,10,1.0464,0.0185
A25,-0.16383,-0.15503,-0.15334,-0.11504,-0.14384,-0.12364,0.151888,0.170354,0.14272,0.136951,0.148484,0.122473,-2,-0.194,0.00703
A25,-0.16383,-0.15503,-0.15334,-0.11504,-0.14384,-0.12364,0.151888,0.170354,0.14272,0.136951,0.148484,0.122473,0,0.0087,0.00604
A25,-0.16383,-0.15503,-0.15334,-0.11504,-0.14384,-0.12364,0.151888,0.170354,0.14272,0.136951,0.148484,0.122473,2,0.2229,0.00688
A25,-0.16383,-0.15503,-0.15334,-0.11504,-0.14384,-0.12364,0.151888,0.170354,0.14272,0.136951,0.148484,0.122473,4,0.5049,0.00887
A25,-0.16383,-0.15503,-0.15334,-0.11504,-0.14384,-0.12364,0.151888,0.170354,0.14272,0.136951,0.148484,0.122473,6,0.7556,0.01182
A25,-0.16383,-0.15503,-0.15334,-0.11504,-0.14384,-0.12364,0.151888,0.170354,0.14272,0.136951,0.148484,0.122473,8,0.8925,0.0155
A25,-0.16383,-0.15503,-0.15334,-0.11504,-0.14384,-0.12364,0.151888,0.170354,0.14272,0.136951,0.148484,0.122473,10,1.0133,0.02049
A26,-0.18552,-0.14681,-0.15452,-0.11788,-0.15396,-0.14796,0.165184,0.159359,0.153141,0.132515,0.135975,0.127683,-2,-0.2132,0.00726
A26,-0.18552,-0.14681,-0.15452,-0.11788,-0.15396,-0.14796,0.165184,0.159359,0.153141,0.132515,0.135975,0.127683,0,-0.0161,0.00604
A26,-0.18552,-0.14681,-0.15452,-0.11788,-0.15396,-0.14796,0.165184,0.159359,0.153141,0.132515,0.135975,0.127683,2,0.2218,0.00736
A26,-0.18552,-0.14681,-0.15452,-0.11788,-0.15396,-0.14796,0.165184,0.159359,0.153141,0.132515,0.135975,0.127683,4,0.5078,0.00944
